,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0,,,,,,,,,,,,,,,,,,,,
1,100.7660,,,,,,,,,,,,,,,,,,,,
2,101.1788,,,,,,,,,,,,,,,,,,,,
3,240,,,,,,,,,,,,,,,,,,,,
4,80.4680,,,,,,,,,,,,,,,,,,,,
5,87.6842,,,,,,,,,,,,,,,,,,,,
6,88.5354,,,,,,,,,,,,,,,,,,,,
7,89.1600,,,,,,,,,,,,,,,,,,,,
8,89.9937,,,,,,,,,,,,,,,,,,,,
9,90.7177,,,,,,,,,,,,,,,,,,,,
10,91.0368,225.0,27.0,91.0368,,,,,,,,,,,,,,,,,
11,94.6320,,,,,,,,,,,,,,,,,,,,
12,97.6769,,,,,,,,,,,,,,,,,,,,
490,JaVale McGee,3.7,1.0,1.8,0.2933,0.0,0.0,0.0,0.1,0.4,0.05,0.4,0.6,1.0,0.0,0.1,0.3,0.4,0.5,2.1,-2.1
491,Jabari Bird,,,,,,,,,,,,,,,,,,,,
492,Jabari Brown,7.9,1.0,2.3,0.2233,0.3,1.0,0.1333,0.7,1.2,0.225,0.1,0.8,0.9,0.3,0.2,0.0,0.8,0.6,3.0,-1.0
493,Jabari Parker,24.7,5.1,11.3,0.38920000000000005,0.5,2.3,0.135,2.8,4.0,0.67,1.9,4.0,5.9,1.2,0.7,0.3,1.1,2.7,13.5,-3.9
494,Jack Cooley,3.9,0.4,1.3,0.0762,0.0,0.0,0.0,0.9,1.9,0.22999999999999998,0.7,0.7,1.4,0.1,0.4,0.3,0.2,1.1,1.7,0.8
495,Jacob Evans,30.5,4.0,8.5,0.4645,1.5,3.5,0.4585,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.5,1.0,2.0,2.5,9.5,4.5
496,Jacob Pullen,,,,,,,,,,,,,,,,,,,,
497,Jacob Wiley,,,,,,,,,,,,,,,,,,,,
498,Jae Crowder,4.9,0.7,1.7,0.14579999999999999,0.6,1.2,0.1214,0.2,0.2,0.1,0.4,0.2,0.6,0.2,0.1,0.1,0.1,0.6,2.2,-2.0
499,Jahlil Okafor,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,-0.5
500,Jake Layman,3.7,0.1,0.9,0.1,0.0,0.4,0.0,0.6,0.8,0.3,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.5,0.8,-1.1
501,Jakob Poeltl,4.3,0.6,1.0,0.1833,0.0,0.0,0.0,0.1,0.3,0.1,0.5,1.3,1.8,0.0,0.3,0.0,0.2,0.5,1.3,0.6
502,Jaleel Roberts,8.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,-6.0
503,Jalen Brunson,27.1,4.8,10.3,0.4771000000000001,1.0,3.5,0.265,1.5,2.6,0.27,0.2,2.2,2.4,5.0,0.3,0.0,1.5,2.2,12.1,-3.5
504,Jalen Jones,,,,,,,,,,,,,,,,,,,,
505,Jamaal Franklin,3.5,0.3,0.9,0.25,0.1,0.3,0.05,0.0,0.0,0.0,0.3,0.5,0.8,0.4,0.0,0.1,0.4,0.8,0.7,1.3
506,Jamaal Magloire,9.7,0.6,1.1,0.35,0.0,0.0,0.0,0.2,0.8,0.1,0.8,1.8,2.6,0.2,0.2,0.2,0.5,1.6,1.4,1.1
507,Jamaal Tinsley,12.1,1.4,3.7,0.35150000000000003,0.4,1.3,0.1917,0.2,0.2,0.1,0.0,0.8,0.8,3.8,0.7,0.2,1.0,1.1,3.4,-1.8
508,Jamal Crawford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,Jamal Murray,15.7,2.4,5.5,0.36160000000000003,0.9,2.6,0.3012,0.8,1.0,0.35,0.2,1.0,1.2,1.1,0.7,0.2,0.7,1.3,6.5,-3.7
510,Jamario Moon,15.0,0.875,3.0,0.270875,0.25,1.25,0.1875,0.25,0.25,0.125,0.25,2.5,2.75,0.625,0.125,0.625,1.0,0.625,2.25,-11.0
511,Jameel Warney,15.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,-14.0
512,Jameer Nelson,1.8,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.1,0.1,0.3,0.0,-0.5
513,Jamel Artis,,,,,,,,,,,,,,,,,,,,
514,James Anderson,1.5,0.4,0.8,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.2,0.8,-0.3
515,James Ennis III,0.8,0.1,0.4,0.025,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.2,-0.9
516,James Harden,6.5,1.0,2.5,0.1376,0.3,1.3,0.1167,1.3,1.4,0.2857,0.1,0.8,0.9,0.7,0.2,0.0,0.6,0.7,3.6,-0.2
517,James Johnson,1.6,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.2,0.4
518,James Jones,1.1,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.4
519,James Michael McAdoo,3.7,0.8,1.4,0.4,0.0,0.0,0.0,0.7,0.8,0.0875,0.1,0.6,0.7,0.1,0.0,0.2,0.3,0.8,2.3,-1.9
520,James Nunnally,5.1,0.6,1.5,0.225,0.5,1.0,0.2333,0.2,0.2,0.1,0.1,0.6,0.7,0.1,0.1,0.1,0.1,0.2,1.9,-1.0
521,James Singleton,19.5,2.9,5.6,0.4675000000000001,0.1,0.7,0.05,0.8,0.8,0.4,2.2,4.1,6.3,1.0,0.6,0.4,0.9,2.5,6.7,2.0
522,James Southerland,7.0,1.25,3.75,0.226,0.75,1.5,0.41675,0.25,0.5,0.125,0.0,2.0,2.0,0.0,0.25,0.5,0.25,0.75,3.5,1.75
523,James Webb III,14.666666666666666,1.3333333333333333,3.6666666666666665,0.39999999999999997,0.6666666666666666,1.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,3.3333333333333335,4.333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,4.0,0.6666666666666666
524,James White,2.4,0.4,0.7,0.175,0.2,0.4,0.15,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.2,0.0,0.0,0.2,1.0,0.0
525,James Young,8.7,0.8,2.0,0.1762,0.3,1.2,0.12,0.8,1.3,0.25830000000000003,0.1,1.2,1.3,0.3,0.2,0.3,0.1,0.9,2.7,-2.5
526,Jamil Wilson,21.2,1.0,4.8,0.16499999999999998,0.4,2.4,0.13999999999999999,1.0,1.2,0.5,0.0,1.4,1.4,1.2,1.0,0.0,0.8,1.0,3.4,-11.4
527,Jan Vesely,8.2,0.7,1.2,0.22380000000000005,0.0,0.0,0.0,0.0,0.4,0.0,0.3,1.6,1.9,0.4,0.5,0.6,0.2,1.1,1.4,2.4
528,Jannero Pargo,3.0,0.8,1.8,0.1942,0.3,0.8,0.1583,0.0,0.0,0.0,0.1,0.1,0.2,0.7,0.0,0.0,0.4,0.2,1.9,-0.1
529,Jared Cunningham,0.6,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.5
530,Jared Dudley,3.4,0.3,0.8,0.0867,0.1,0.4,0.033299999999999996,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.2,0.0,0.1,0.1,0.7,1.7
531,Jared Jeffries,2.0,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.2,0.05,0.2,0.3,0.5,0.2,0.0,0.0,0.0,0.1,0.5,1.2
532,Jared Sullinger,7.1,0.7,3.0,0.1041,0.0,0.6,0.0,0.5,0.8,0.15,1.0,2.3,3.3,0.4,0.0,0.3,0.5,1.0,1.9,0.3
533,Jared Terrell,8.25,1.0,3.0,0.18325,0.0,1.25,0.0,0.5,1.0,0.25,0.0,0.5,0.5,1.25,0.0,0.25,0.5,2.0,2.5,-4.75
534,Jarell Eddie,1.0,0.2,0.5,0.0833,0.1,0.4,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,-0.8
535,Jarell Martin,6.9,1.0,2.5,0.3786,0.2,0.7,0.06659999999999999,1.1,1.5,0.3292,0.4,1.4,1.8,0.1,0.4,0.0,0.4,1.2,3.3,1.5
536,Jaren Jackson Jr.,,,,,,,,,,,,,,,,,,,,
537,Jarnell Stokes,5.5,0.8,1.8,0.24,0.0,0.0,0.0,0.4,0.9,0.11000000000000001,0.7,0.6,1.3,0.2,0.4,0.1,0.2,0.9,2.0,0.0
538,Jaron Blossomgame,,,,,,,,,,,,,,,,,,,,
539,Jarred Vanderbilt,3.8333333333333335,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
540,Jarrett Allen,20.8,3.8,6.4,0.6149,0.0,0.1,0.0,2.8,3.8,0.46530000000000005,2.8,4.3,7.1,1.4,0.4,0.5,1.5,2.4,10.4,-7.6
541,Jarrett Jack,4.8,1.1,1.7,0.1306,0.0,0.1,0.0,0.4,0.4,0.1,0.0,0.5,0.5,1.1,0.1,0.0,0.3,0.3,2.6,0.8
542,Jarrid Famous,7.333333333333333,1.3333333333333333,2.3333333333333335,0.389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.0
543,Jarrod Uthoff,12.571428571428571,2.0,4.0,0.5357142857142857,0.42857142857142855,1.1428571428571428,0.23814285714285716,0.7142857142857143,1.0,0.20242857142857143,1.0,1.4285714285714286,2.4285714285714284,1.1428571428571428,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.1428571428571428,5.142857142857143,-5.571428571428571
544,Jarvis Varnado,5.6,0.3,0.5,0.15,0.0,0.0,0.0,0.4,0.8,0.15,0.2,1.0,1.2,0.2,0.1,0.3,0.6,1.1,1.0,-1.9
