,teamAbbr,rslt,teamMin,teamPTS,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptPTS,opptPTS1,opptPTS2,opptPTS3,opptPTS4,teamFGM,teamFGA,teamFG,team3PM,team3PA,team3PCT,teamFTM,teamFTA,teamFTC,teamORB,teamDRB,teamREB,teamAST,teamSTL,teamBLK,teamTO,teamPF,team2P,teamTS,teamEFG,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamPlay
10,GSW,77.77777777777779,240.0,121.77777777777777,33.333333333333336,30.666666666666668,31.444444444444443,26.333333333333332,109.66666666666667,25.88888888888889,26.88888888888889,27.333333333333332,29.555555555555557,45.55555555555556,88.11111111111111,0.5176666666666667,13.777777777777779,32.888888888888886,0.4168888888888889,16.88888888888889,20.11111111111111,0.8148888888888889,10.88888888888889,34.111111111111114,45.0,31.22222222222222,8.88888888888889,7.555555555555555,16.0,22.88888888888889,31.77777777777778,0.6294222222222223,0.5956444444444444,1.3911333333333333,104.84722222222223,87.37268888888889,122.21124444444442,110.0207111111111,0.4884777777777778
11,HOU,100.0,240.0,117.33333333333333,29.444444444444443,33.0,26.88888888888889,28.0,98.55555555555556,22.88888888888889,23.22222222222222,27.666666666666668,24.77777777777778,40.666666666666664,88.33333333333333,0.4589999999999999,16.22222222222222,44.666666666666664,0.35677777777777775,19.77777777777778,24.444444444444443,0.8073333333333333,8.777777777777779,37.111111111111114,45.888888888888886,20.555555555555557,8.0,5.444444444444445,11.11111111111111,19.333333333333332,24.444444444444443,0.5914999999999999,0.5496888888888889,1.3293555555555556,91.75,76.45832222222222,118.39601111111112,99.5829888888889,0.4470222222222222
12,IND,77.77777777777779,240.0,106.88888888888889,26.88888888888889,29.22222222222222,24.666666666666668,26.11111111111111,108.33333333333333,28.22222222222222,25.11111111111111,28.333333333333332,26.666666666666668,41.0,87.44444444444444,0.46977777777777785,10.444444444444445,27.0,0.3917777777777778,14.444444444444445,19.555555555555557,0.7137777777777777,9.777777777777779,33.55555555555556,43.333333333333336,24.666666666666668,6.555555555555555,4.333333333333333,12.333333333333334,19.666666666666668,30.555555555555557,0.5575444444444444,0.529688888888889,1.2250666666666665,82.30555555555556,68.58796666666666,111.31485555555555,112.81821111111111,0.4548888888888889
13,LAC,66.66666666666666,242.77777777777777,113.22222222222223,27.77777777777778,29.333333333333332,25.333333333333332,28.88888888888889,119.55555555555556,31.11111111111111,29.555555555555557,29.444444444444443,28.22222222222222,40.333333333333336,87.66666666666667,0.4607777777777778,9.88888888888889,29.22222222222222,0.3353333333333333,22.666666666666668,29.555555555555557,0.756222222222222,9.777777777777779,33.44444444444444,43.22222222222222,25.333333333333332,7.0,4.222222222222222,13.222222222222221,23.333333333333332,30.444444444444443,0.5639666666666667,0.5172333333333332,1.2959222222222222,82.91666666666667,68.09485555555555,110.95175555555555,117.34795555555554,0.4409666666666666
14,LAL,66.66666666666666,240.0,110.22222222222223,26.444444444444443,27.0,29.0,27.77777777777778,107.11111111111111,26.88888888888889,26.88888888888889,27.444444444444443,25.88888888888889,42.44444444444444,91.33333333333333,0.46744444444444444,10.444444444444445,31.88888888888889,0.32855555555555555,14.88888888888889,20.666666666666668,0.7135555555555555,13.666666666666666,37.44444444444444,51.111111111111114,28.11111111111111,8.333333333333334,5.888888888888889,16.22222222222222,19.666666666666668,32.0,0.5521555555555556,0.5251444444444444,1.2152222222222222,92.0,76.66666666666667,110.00577777777778,106.76501111111112,0.4537333333333334
15,MEM,55.55555555555556,245.55555555555554,108.88888888888889,28.555555555555557,28.77777777777778,25.22222222222222,23.11111111111111,109.33333333333333,26.333333333333332,26.0,25.77777777777778,28.0,38.55555555555556,88.33333333333333,0.4384444444444444,12.444444444444445,32.0,0.38499999999999995,19.333333333333332,23.333333333333332,0.8294444444444444,12.666666666666666,33.666666666666664,46.333333333333336,22.77777777777778,5.888888888888889,3.111111111111111,11.666666666666666,21.333333333333332,26.11111111111111,0.5544111111111112,0.5086555555555555,1.2400444444444443,81.25,66.14911111111113,115.36934444444445,115.85784444444445,0.44216666666666665
16,MIA,55.55555555555556,242.77777777777777,105.88888888888889,29.11111111111111,24.444444444444443,26.22222222222222,24.333333333333332,105.77777777777777,28.11111111111111,25.0,26.22222222222222,25.0,39.77777777777778,88.0,0.4517777777777778,9.88888888888889,29.555555555555557,0.3367777777777778,16.444444444444443,22.88888888888889,0.7244444444444444,10.0,34.44444444444444,44.44444444444444,23.666666666666668,6.222222222222222,5.666666666666667,13.222222222222221,20.666666666666668,29.88888888888889,0.5395444444444445,0.5075444444444446,1.2020111111111111,79.13888888888889,65.15636666666666,106.75936666666666,106.82169999999999,0.4353666666666666
17,MIL,66.66666666666666,240.0,116.55555555555556,27.88888888888889,32.0,31.11111111111111,25.555555555555557,108.66666666666667,26.11111111111111,28.0,26.333333333333332,28.22222222222222,42.22222222222222,90.66666666666667,0.46655555555555556,14.333333333333334,38.55555555555556,0.3768888888888889,17.77777777777778,24.22222222222222,0.7296666666666667,8.222222222222221,43.888888888888886,52.111111111111114,25.22222222222222,6.777777777777778,5.666666666666667,12.0,17.666666666666668,27.88888888888889,0.5761444444444445,0.5458777777777777,1.2891222222222223,97.44444444444444,81.2037,112.98676666666667,105.17592222222221,0.44728888888888885
18,MIN,66.66666666666666,242.77777777777777,113.11111111111111,25.88888888888889,28.333333333333332,31.88888888888889,25.22222222222222,119.11111111111111,33.888888888888886,32.666666666666664,23.77777777777778,27.11111111111111,42.0,90.11111111111111,0.4672222222222222,9.444444444444445,26.444444444444443,0.36388888888888893,19.666666666666668,25.333333333333332,0.784,9.11111111111111,31.333333333333332,40.44444444444444,25.444444444444443,8.666666666666666,4.111111111111111,12.11111111111111,18.77777777777778,32.55555555555556,0.5589999999999999,0.5190555555555556,1.2568777777777778,85.36111111111111,70.29566666666668,111.08835555555555,116.92,0.4520555555555555
19,NJN,66.66666666666666,242.77777777777777,96.22222222222223,24.77777777777778,23.0,23.333333333333332,23.666666666666668,101.66666666666667,25.22222222222222,25.0,22.88888888888889,27.666666666666668,36.77777777777778,83.11111111111111,0.44355555555555554,6.0,18.77777777777778,0.3141111111111111,16.666666666666668,21.333333333333332,0.7956666666666666,11.777777777777779,28.77777777777778,40.55555555555556,20.444444444444443,7.0,3.3333333333333335,13.777777777777779,18.333333333333332,30.77777777777778,0.5216777777777778,0.4796666666666667,1.1600222222222223,67.08333333333333,55.10568888888889,104.80006666666667,110.65304444444445,0.43217777777777777
